1	Dec  7, 2024 20:11:43.502351000 -03	192.168.1.95	5.161.76.19		8		0.000000000
2	Dec  7, 2024 20:11:43.503146000 -03	192.168.1.1,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.000795000
3	Dec  7, 2024 20:11:43.551979000 -03	192.168.1.95	5.161.76.19		8		0.048833000
4	Dec  7, 2024 20:11:43.559172000 -03	190.20.192.1,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.007193000
5	Dec  7, 2024 20:11:43.602948000 -03	192.168.1.95	5.161.76.19		8		0.043776000
6	Dec  7, 2024 20:11:43.608254000 -03	10.50.3.9,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.005306000
7	Dec  7, 2024 20:11:43.652878000 -03	192.168.1.95	5.161.76.19		8		0.044624000
8	Dec  7, 2024 20:11:43.655429000 -03	10.50.3.22,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.002551000
9	Dec  7, 2024 20:11:43.701967000 -03	192.168.1.95	5.161.76.19		8		0.046538000
10	Dec  7, 2024 20:11:43.709152000 -03	5.53.0.144,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.007185000
11	Dec  7, 2024 20:11:43.751959000 -03	192.168.1.95	5.161.76.19		8		0.042807000
15	Dec  7, 2024 20:11:48.754639000 -03	192.168.1.95	5.161.76.19		8		0.246086000
18	Dec  7, 2024 20:11:53.759429000 -03	192.168.1.95	5.161.76.19		8		3.531345000
19	Dec  7, 2024 20:11:58.763891000 -03	192.168.1.95	5.161.76.19		8		5.004462000
20	Dec  7, 2024 20:11:58.865582000 -03	213.140.43.234,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.101691000
21	Dec  7, 2024 20:11:58.865799000 -03	192.168.1.95	5.161.76.19		8		0.000217000
23	Dec  7, 2024 20:12:03.867425000 -03	192.168.1.95	5.161.76.19		8		0.168065000
26	Dec  7, 2024 20:12:08.870534000 -03	192.168.1.95	5.161.76.19		8		5.002009000
27	Dec  7, 2024 20:12:09.009870000 -03	62.115.120.176,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.139336000
28	Dec  7, 2024 20:12:09.010038000 -03	192.168.1.95	5.161.76.19		8		0.000168000
29	Dec  7, 2024 20:12:09.149206000 -03	62.115.123.125,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.139168000
30	Dec  7, 2024 20:12:09.149368000 -03	192.168.1.95	5.161.76.19		8		0.000162000
31	Dec  7, 2024 20:12:09.289468000 -03	62.115.56.201,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.140100000
32	Dec  7, 2024 20:12:09.289695000 -03	192.168.1.95	5.161.76.19		8		0.000227000
33	Dec  7, 2024 20:12:09.421530000 -03	5.161.0.82,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.131835000
34	Dec  7, 2024 20:12:09.421646000 -03	192.168.1.95	5.161.76.19		8		0.000116000
35	Dec  7, 2024 20:12:14.426596000 -03	192.168.1.95	5.161.76.19		8		5.004950000
37	Dec  7, 2024 20:12:19.430946000 -03	192.168.1.95	5.161.76.19		8		1.288797000
38	Dec  7, 2024 20:12:19.571089000 -03	5.161.9.171,192.168.1.95	192.168.1.95,5.161.76.19		11,8		0.140143000
39	Dec  7, 2024 20:12:19.571257000 -03	192.168.1.95	5.161.76.19		8		0.000168000
42	Dec  7, 2024 20:12:24.575649000 -03	192.168.1.95	5.161.76.19		8		4.982613000
43	Dec  7, 2024 20:12:29.579803000 -03	192.168.1.95	5.161.76.19		8		5.004154000
45	Dec  7, 2024 20:12:34.580821000 -03	192.168.1.95	5.161.76.19		8		0.641872000
46	Dec  7, 2024 20:12:39.582204000 -03	192.168.1.95	5.161.76.19		8		5.001383000
47	Dec  7, 2024 20:12:44.583968000 -03	192.168.1.95	5.161.76.19		8		5.001764000
49	Dec  7, 2024 20:12:49.588329000 -03	192.168.1.95	5.161.76.19		8		1.009362000
50	Dec  7, 2024 20:12:54.592806000 -03	192.168.1.95	5.161.76.19		8		5.004477000
51	Dec  7, 2024 20:12:59.597494000 -03	192.168.1.95	5.161.76.19		8		5.004688000
57	Dec  7, 2024 20:13:04.601825000 -03	192.168.1.95	5.161.76.19		8		1.009543000
