1	Dec  7, 2024 20:38:15.772406000 -03	192.168.1.95	130.104.228.159	62625,33435			0.000000000
2	Dec  7, 2024 20:38:15.773488000 -03	192.168.1.1,192.168.1.95	192.168.1.95,130.104.228.159	62625,33435	11		0.001082000
3	Dec  7, 2024 20:38:15.821878000 -03	192.168.1.95	130.104.228.159	62625,33436			0.048390000
4	Dec  7, 2024 20:38:15.826043000 -03	190.20.192.1,192.168.1.95	192.168.1.95,130.104.228.159	62625,33436	11		0.004165000
5	Dec  7, 2024 20:38:15.872597000 -03	192.168.1.95	130.104.228.159	62625,33437			0.046554000
8	Dec  7, 2024 20:38:20.875125000 -03	192.168.1.95	130.104.228.159	62625,33438			0.290594000
9	Dec  7, 2024 20:38:20.882071000 -03	10.50.3.9,192.168.1.95	192.168.1.95,130.104.228.159	62625,33438	11		0.006946000
10	Dec  7, 2024 20:38:20.925670000 -03	192.168.1.95	130.104.228.159	62625,33439			0.043599000
11	Dec  7, 2024 20:38:20.932157000 -03	10.50.3.22,192.168.1.95	192.168.1.95,130.104.228.159	62625,33439	11		0.006487000
12	Dec  7, 2024 20:38:20.975747000 -03	192.168.1.95	130.104.228.159	62625,33440			0.043590000
14	Dec  7, 2024 20:38:25.979693000 -03	192.168.1.95	130.104.228.159	62625,33441			4.947161000
15	Dec  7, 2024 20:38:30.984044000 -03	192.168.1.95	130.104.228.159	62625,33442			5.004351000
16	Dec  7, 2024 20:38:35.988571000 -03	192.168.1.95	130.104.228.159	62625,33443			5.004527000
20	Dec  7, 2024 20:38:40.992848000 -03	192.168.1.95	130.104.228.159	62625,33444			4.787309000
21	Dec  7, 2024 20:38:45.993639000 -03	192.168.1.95	130.104.228.159	62625,33445			5.000791000
23	Dec  7, 2024 20:38:50.996186000 -03	192.168.1.95	130.104.228.159	62625,33446			0.230930000
24	Dec  7, 2024 20:38:56.000301000 -03	192.168.1.95	130.104.228.159	62625,33447			5.004115000
25	Dec  7, 2024 20:39:01.002471000 -03	192.168.1.95	130.104.228.159	62625,33448			5.002170000
26	Dec  7, 2024 20:39:01.250787000 -03	212.133.24.90,192.168.1.95	192.168.1.95,130.104.228.159	62625,33448	11		0.248316000
27	Dec  7, 2024 20:39:01.250948000 -03	192.168.1.95	130.104.228.159	62625,33449			0.000161000
28	Dec  7, 2024 20:39:01.469103000 -03	212.133.24.90,192.168.1.95	192.168.1.95,130.104.228.159	62625,33449	11		0.218155000
29	Dec  7, 2024 20:39:01.469269000 -03	192.168.1.95	130.104.228.159	62625,33450			0.000166000
30	Dec  7, 2024 20:39:01.685614000 -03	193.191.3.86,192.168.1.95	192.168.1.95,130.104.228.159	62625,33450	11		0.216345000
31	Dec  7, 2024 20:39:01.685703000 -03	192.168.1.95	130.104.228.159	62625,33451			0.000089000
33	Dec  7, 2024 20:39:06.686864000 -03	192.168.1.95	130.104.228.159	62625,33452			0.824742000
34	Dec  7, 2024 20:39:06.902070000 -03	193.191.3.86,192.168.1.95	192.168.1.95,130.104.228.159	62625,33452	11		0.215206000
35	Dec  7, 2024 20:39:06.902199000 -03	192.168.1.95	130.104.228.159	62625,33453			0.000129000
38	Dec  7, 2024 20:39:11.906545000 -03	192.168.1.95	130.104.228.159	62625,33454			4.516492000
39	Dec  7, 2024 20:39:16.907563000 -03	192.168.1.95	130.104.228.159	62625,33455			5.001018000
44	Dec  7, 2024 20:39:21.911631000 -03	192.168.1.95	130.104.228.159	62625,33456			0.426377000
45	Dec  7, 2024 20:39:26.916012000 -03	192.168.1.95	130.104.228.159	62625,33457			5.004381000
48	Dec  7, 2024 20:39:31.920375000 -03	192.168.1.95	130.104.228.159	62625,33458			1.137709000
