1	Dec  7, 2024 19:49:28.797357000 -03	192.168.1.95	185.131.204.20		8		0.000000000
2	Dec  7, 2024 19:49:28.797903000 -03	192.168.1.1,192.168.1.95	192.168.1.95,185.131.204.20		11,8		0.000546000
3	Dec  7, 2024 19:49:28.847413000 -03	192.168.1.95	185.131.204.20		8		0.049510000
4	Dec  7, 2024 19:49:28.853981000 -03	190.20.192.1,192.168.1.95	192.168.1.95,185.131.204.20		11,8		0.006568000
5	Dec  7, 2024 19:49:28.897565000 -03	192.168.1.95	185.131.204.20		8		0.043584000
6	Dec  7, 2024 19:49:28.905566000 -03	10.50.3.21,192.168.1.95	192.168.1.95,185.131.204.20		11,8		0.008001000
7	Dec  7, 2024 19:49:28.947389000 -03	192.168.1.95	185.131.204.20		8		0.041823000
8	Dec  7, 2024 19:49:28.953642000 -03	10.50.3.22,192.168.1.95	192.168.1.95,185.131.204.20		11,8		0.006253000
9	Dec  7, 2024 19:49:28.997477000 -03	192.168.1.95	185.131.204.20		8		0.043835000
10	Dec  7, 2024 19:49:29.005937000 -03	5.53.0.144,192.168.1.95	192.168.1.95,185.131.204.20		11,8		0.008460000
11	Dec  7, 2024 19:49:29.048060000 -03	192.168.1.95	185.131.204.20		8		0.042123000
15	Dec  7, 2024 19:49:34.052559000 -03	192.168.1.95	185.131.204.20		8		0.252970000
16	Dec  7, 2024 19:49:39.055851000 -03	192.168.1.95	185.131.204.20		8		5.003292000
17	Dec  7, 2024 19:49:44.060277000 -03	192.168.1.95	185.131.204.20		8		5.004426000
20	Dec  7, 2024 19:49:49.061419000 -03	192.168.1.95	185.131.204.20		8		2.002393000
21	Dec  7, 2024 19:49:54.066138000 -03	192.168.1.95	185.131.204.20		8		5.004719000
22	Dec  7, 2024 19:49:59.067032000 -03	192.168.1.95	185.131.204.20		8		5.000894000
24	Dec  7, 2024 19:50:04.071372000 -03	192.168.1.95	185.131.204.20		8		2.858953000
27	Dec  7, 2024 19:50:09.072676000 -03	192.168.1.95	185.131.204.20		8		4.946757000
46	Dec  7, 2024 19:50:14.077034000 -03	192.168.1.95	185.131.204.20		8		0.557872000
