3	Dec  7, 2024 19:53:07.908604000 -03	192.168.1.95	185.131.204.20			0x0010	0.011554000
4	Dec  7, 2024 19:53:07.909106000 -03	192.168.1.1,192.168.1.95	192.168.1.95,185.131.204.20		11	0x0010	0.000502000
5	Dec  7, 2024 19:53:07.959230000 -03	192.168.1.95	185.131.204.20			0x0010	0.050124000
7	Dec  7, 2024 19:53:08.008326000 -03	192.168.1.95	185.131.204.20			0x0010	0.043574000
9	Dec  7, 2024 19:53:08.058994000 -03	192.168.1.95	185.131.204.20			0x0010	0.045621000
11	Dec  7, 2024 19:53:08.108177000 -03	192.168.1.95	185.131.204.20			0x0010	0.042317000
13	Dec  7, 2024 19:53:08.158542000 -03	192.168.1.95	185.131.204.20			0x0010	0.043811000
16	Dec  7, 2024 19:53:13.158867000 -03	192.168.1.95	185.131.204.20			0x0010	0.247199000
18	Dec  7, 2024 19:53:18.159098000 -03	192.168.1.95	185.131.204.20			0x0010	1.100006000
19	Dec  7, 2024 19:53:23.159989000 -03	192.168.1.95	185.131.204.20			0x0010	5.000891000
20	Dec  7, 2024 19:53:28.160597000 -03	192.168.1.95	185.131.204.20			0x0010	5.000608000
22	Dec  7, 2024 19:53:33.161172000 -03	192.168.1.95	185.131.204.20			0x0010	1.328775000
23	Dec  7, 2024 19:53:38.161760000 -03	192.168.1.95	185.131.204.20			0x0010	5.000588000
24	Dec  7, 2024 19:53:43.162765000 -03	192.168.1.95	185.131.204.20			0x0010	5.001005000
28	Dec  7, 2024 19:53:48.163547000 -03	192.168.1.95	185.131.204.20			0x0010	1.317854000
31	Dec  7, 2024 19:53:53.163797000 -03	192.168.1.95	185.131.204.20			0x0010	0.564674000
