1	Dec  7, 2024 20:39:37.445263000 -03	192.168.1.95	130.104.228.159			0x0002	0.000000000
2	Dec  7, 2024 20:39:37.445779000 -03	192.168.1.1,192.168.1.95	192.168.1.95,130.104.228.159		11	0x0002	0.000516000
3	Dec  7, 2024 20:39:37.495458000 -03	192.168.1.95	130.104.228.159			0x0002	0.049679000
4	Dec  7, 2024 20:39:37.507324000 -03	190.20.192.1,192.168.1.95	192.168.1.95,130.104.228.159		11		0.011866000
5	Dec  7, 2024 20:39:37.544787000 -03	192.168.1.95	130.104.228.159			0x0002	0.037463000
6	Dec  7, 2024 20:39:37.550448000 -03	10.50.3.9,192.168.1.95	192.168.1.95,130.104.228.159		11		0.005661000
7	Dec  7, 2024 20:39:37.595376000 -03	192.168.1.95	130.104.228.159			0x0002	0.044928000
8	Dec  7, 2024 20:39:37.600784000 -03	10.50.3.22,192.168.1.95	192.168.1.95,130.104.228.159		11		0.005408000
9	Dec  7, 2024 20:39:37.645741000 -03	192.168.1.95	130.104.228.159			0x0002	0.044957000
10	Dec  7, 2024 20:39:37.652361000 -03	5.53.0.144,192.168.1.95	192.168.1.95,130.104.228.159		11	0x0002	0.006620000
11	Dec  7, 2024 20:39:37.695286000 -03	192.168.1.95	130.104.228.159			0x0002	0.042925000
14	Dec  7, 2024 20:39:42.695576000 -03	192.168.1.95	130.104.228.159			0x0002	0.549792000
15	Dec  7, 2024 20:39:42.796465000 -03	5.53.3.75,192.168.1.95	192.168.1.95,130.104.228.159		11	0x0002	0.100889000
16	Dec  7, 2024 20:39:42.796644000 -03	192.168.1.95	130.104.228.159			0x0002	0.000179000
17	Dec  7, 2024 20:39:47.796858000 -03	192.168.1.95	130.104.228.159			0x0002	5.000214000
19	Dec  7, 2024 20:39:52.798134000 -03	192.168.1.95	130.104.228.159			0x0002	1.739333000
20	Dec  7, 2024 20:39:57.798701000 -03	192.168.1.95	130.104.228.159			0x0002	5.000567000
21	Dec  7, 2024 20:40:02.798910000 -03	192.168.1.95	130.104.228.159			0x0002	5.000209000
22	Dec  7, 2024 20:40:03.018109000 -03	171.75.8.23,192.168.1.95	192.168.1.95,130.104.228.159		11		0.219199000
23	Dec  7, 2024 20:40:03.018253000 -03	192.168.1.95	130.104.228.159			0x0002	0.000144000
24	Dec  7, 2024 20:40:03.268769000 -03	212.133.24.90,192.168.1.95	192.168.1.95,130.104.228.159		11		0.250516000
25	Dec  7, 2024 20:40:03.268917000 -03	192.168.1.95	130.104.228.159			0x0002	0.000148000
27	Dec  7, 2024 20:40:08.269184000 -03	192.168.1.95	130.104.228.159			0x0002	2.063930000
36	Dec  7, 2024 20:40:12.767287000 -03	192.168.1.95	95.216.195.133			0x0002	0.000642000
37	Dec  7, 2024 20:40:13.012825000 -03	95.216.195.133	192.168.1.95			0x0012	0.245538000
38	Dec  7, 2024 20:40:13.012900000 -03	192.168.1.95	95.216.195.133			0x0010	0.000075000
39	Dec  7, 2024 20:40:13.013088000 -03	192.168.1.95	95.216.195.133			0x0018	0.000188000
40	Dec  7, 2024 20:40:13.261195000 -03	95.216.195.133	192.168.1.95			0x0010	0.248107000
41	Dec  7, 2024 20:40:13.261196000 -03	95.216.195.133	192.168.1.95			0x0018	0.000001000
42	Dec  7, 2024 20:40:13.261196000 -03	95.216.195.133	192.168.1.95			0x0011	0.000000000
43	Dec  7, 2024 20:40:13.261284000 -03	192.168.1.95	95.216.195.133			0x0010	0.000088000
44	Dec  7, 2024 20:40:13.261465000 -03	192.168.1.95	95.216.195.133			0x0011	0.000181000
45	Dec  7, 2024 20:40:13.269997000 -03	192.168.1.95	130.104.228.159			0x0002	0.008532000
46	Dec  7, 2024 20:40:13.485301000 -03	193.191.3.86,192.168.1.95	192.168.1.95,130.104.228.159		11	0x0002	0.215304000
47	Dec  7, 2024 20:40:13.485451000 -03	192.168.1.95	130.104.228.159			0x0002	0.000150000
48	Dec  7, 2024 20:40:13.513440000 -03	95.216.195.133	192.168.1.95			0x0010	0.027989000
51	Dec  7, 2024 20:40:18.486489000 -03	192.168.1.95	130.104.228.159			0x0002	1.070156000
53	Dec  7, 2024 20:40:23.487759000 -03	192.168.1.95	130.104.228.159			0x0002	2.648845000
54	Dec  7, 2024 20:40:28.488096000 -03	192.168.1.95	130.104.228.159			0x0002	5.000337000
55	Dec  7, 2024 20:40:33.488888000 -03	192.168.1.95	130.104.228.159			0x0002	5.000792000
57	Dec  7, 2024 20:40:38.488900000 -03	192.168.1.95	130.104.228.159			0x0002	2.070109000
58	Dec  7, 2024 20:40:43.489277000 -03	192.168.1.95	130.104.228.159			0x0002	5.000377000
59	Dec  7, 2024 20:40:48.489825000 -03	192.168.1.95	130.104.228.159			0x0002	5.000548000
61	Dec  7, 2024 20:40:53.491046000 -03	192.168.1.95	130.104.228.159			0x0002	2.458915000
62	Dec  7, 2024 20:40:58.491626000 -03	192.168.1.95	130.104.228.159			0x0002	5.000580000
