1	Dec  7, 2024 20:07:14.501635000 -03	192.168.1.95	5.161.76.19			0x0002	0.000000000
2	Dec  7, 2024 20:07:14.502111000 -03	192.168.1.1,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.000476000
3	Dec  7, 2024 20:07:14.551000000 -03	192.168.1.95	5.161.76.19			0x0002	0.048889000
4	Dec  7, 2024 20:07:14.554338000 -03	190.20.192.1,192.168.1.95	192.168.1.95,5.161.76.19		11		0.003338000
5	Dec  7, 2024 20:07:14.600672000 -03	192.168.1.95	5.161.76.19			0x0002	0.046334000
6	Dec  7, 2024 20:07:14.605583000 -03	10.50.3.21,192.168.1.95	192.168.1.95,5.161.76.19		11		0.004911000
7	Dec  7, 2024 20:07:14.651550000 -03	192.168.1.95	5.161.76.19			0x0002	0.045967000
8	Dec  7, 2024 20:07:14.656788000 -03	10.50.3.22,192.168.1.95	192.168.1.95,5.161.76.19		11		0.005238000
9	Dec  7, 2024 20:07:14.701633000 -03	192.168.1.95	5.161.76.19			0x0002	0.044845000
13	Dec  7, 2024 20:07:19.701734000 -03	192.168.1.95	5.161.76.19			0x0002	0.195157000
14	Dec  7, 2024 20:07:19.707035000 -03	5.53.0.144,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.005301000
15	Dec  7, 2024 20:07:19.752666000 -03	192.168.1.95	5.161.76.19			0x0002	0.045631000
16	Dec  7, 2024 20:07:24.753812000 -03	192.168.1.95	5.161.76.19			0x0002	5.001146000
17	Dec  7, 2024 20:07:29.754484000 -03	192.168.1.95	5.161.76.19			0x0002	5.000672000
18	Dec  7, 2024 20:07:29.863199000 -03	213.140.43.234,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.108715000
19	Dec  7, 2024 20:07:29.863345000 -03	192.168.1.95	5.161.76.19			0x0002	0.000146000
22	Dec  7, 2024 20:07:34.863714000 -03	192.168.1.95	5.161.76.19			0x0002	2.094749000
23	Dec  7, 2024 20:07:39.863888000 -03	192.168.1.95	5.161.76.19			0x0002	5.000174000
24	Dec  7, 2024 20:07:39.998979000 -03	62.115.120.176,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.135091000
25	Dec  7, 2024 20:07:39.999126000 -03	192.168.1.95	5.161.76.19			0x0002	0.000147000
26	Dec  7, 2024 20:07:40.134666000 -03	62.115.123.125,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.135540000
27	Dec  7, 2024 20:07:40.134836000 -03	192.168.1.95	5.161.76.19			0x0002	0.000170000
28	Dec  7, 2024 20:07:40.281430000 -03	62.115.56.201,192.168.1.95	192.168.1.95,5.161.76.19		11		0.146594000
29	Dec  7, 2024 20:07:40.281605000 -03	192.168.1.95	5.161.76.19			0x0002	0.000175000
30	Dec  7, 2024 20:07:40.415164000 -03	5.161.0.82,192.168.1.95	192.168.1.95,5.161.76.19		11		0.133559000
31	Dec  7, 2024 20:07:40.415441000 -03	192.168.1.95	5.161.76.19			0x0002	0.000277000
34	Dec  7, 2024 20:07:45.416232000 -03	192.168.1.95	5.161.76.19			0x0002	0.409710000
36	Dec  7, 2024 20:07:50.417621000 -03	192.168.1.95	5.161.76.19			0x0002	2.211811000
37	Dec  7, 2024 20:07:50.559105000 -03	5.161.9.171,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0002	0.141484000
38	Dec  7, 2024 20:07:50.559265000 -03	192.168.1.95	5.161.76.19			0x0002	0.000160000
39	Dec  7, 2024 20:07:55.559698000 -03	192.168.1.95	5.161.76.19			0x0002	5.000433000
40	Dec  7, 2024 20:08:00.559949000 -03	192.168.1.95	5.161.76.19			0x0002	5.000251000
42	Dec  7, 2024 20:08:05.560827000 -03	192.168.1.95	5.161.76.19			0x0002	2.128503000
43	Dec  7, 2024 20:08:10.561657000 -03	192.168.1.95	5.161.76.19			0x0002	5.000830000
44	Dec  7, 2024 20:08:15.562567000 -03	192.168.1.95	5.161.76.19			0x0002	5.000910000
48	Dec  7, 2024 20:08:20.563786000 -03	192.168.1.95	5.161.76.19			0x0002	1.930885000
51	Dec  7, 2024 20:08:25.564633000 -03	192.168.1.95	5.161.76.19			0x0002	3.243302000
52	Dec  7, 2024 20:08:30.565319000 -03	192.168.1.95	5.161.76.19			0x0002	5.000686000
54	Dec  7, 2024 20:08:35.565934000 -03	192.168.1.95	5.161.76.19			0x0002	2.240239000
