1	Dec  7, 2024 20:37:04.410480000 -03	192.168.1.95	130.104.228.159		8		0.000000000
2	Dec  7, 2024 20:37:04.411023000 -03	192.168.1.1,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.000543000
3	Dec  7, 2024 20:37:04.460237000 -03	192.168.1.95	130.104.228.159		8		0.049214000
4	Dec  7, 2024 20:37:04.467827000 -03	190.20.192.1,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.007590000
5	Dec  7, 2024 20:37:04.511358000 -03	192.168.1.95	130.104.228.159		8		0.043531000
6	Dec  7, 2024 20:37:04.516958000 -03	10.50.3.9,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.005600000
7	Dec  7, 2024 20:37:04.560976000 -03	192.168.1.95	130.104.228.159		8		0.044018000
8	Dec  7, 2024 20:37:04.563813000 -03	10.50.3.22,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.002837000
9	Dec  7, 2024 20:37:04.610550000 -03	192.168.1.95	130.104.228.159		8		0.046737000
10	Dec  7, 2024 20:37:04.617368000 -03	5.53.0.144,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.006818000
11	Dec  7, 2024 20:37:04.660806000 -03	192.168.1.95	130.104.228.159		8		0.043438000
15	Dec  7, 2024 20:37:09.663398000 -03	192.168.1.95	130.104.228.159		8		1.003926000
16	Dec  7, 2024 20:37:14.664069000 -03	192.168.1.95	130.104.228.159		8		5.000671000
17	Dec  7, 2024 20:37:19.668223000 -03	192.168.1.95	130.104.228.159		8		5.004154000
19	Dec  7, 2024 20:37:24.672855000 -03	192.168.1.95	130.104.228.159		8		4.224068000
20	Dec  7, 2024 20:37:24.893590000 -03	171.75.8.23,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.220735000
21	Dec  7, 2024 20:37:24.893722000 -03	192.168.1.95	130.104.228.159		8		0.000132000
22	Dec  7, 2024 20:37:25.110907000 -03	212.133.24.90,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.217185000
23	Dec  7, 2024 20:37:25.111043000 -03	192.168.1.95	130.104.228.159		8		0.000136000
24	Dec  7, 2024 20:37:30.115186000 -03	192.168.1.95	130.104.228.159		8		5.004143000
25	Dec  7, 2024 20:37:35.117482000 -03	192.168.1.95	130.104.228.159		8		5.002296000
26	Dec  7, 2024 20:37:35.333544000 -03	193.191.3.86,192.168.1.95	192.168.1.95,130.104.228.159		11,8		0.216062000
27	Dec  7, 2024 20:37:35.333734000 -03	192.168.1.95	130.104.228.159		8		0.000190000
31	Dec  7, 2024 20:37:40.337750000 -03	192.168.1.95	130.104.228.159		8		0.003384000
32	Dec  7, 2024 20:37:45.342017000 -03	192.168.1.95	130.104.228.159		8		5.004267000
33	Dec  7, 2024 20:37:50.344670000 -03	192.168.1.95	130.104.228.159		8		5.002653000
39	Dec  7, 2024 20:37:55.348858000 -03	192.168.1.95	130.104.228.159		8		2.628402000
42	Dec  7, 2024 20:38:00.353203000 -03	192.168.1.95	130.104.228.159		8		2.875031000
43	Dec  7, 2024 20:38:05.356341000 -03	192.168.1.95	130.104.228.159		8		5.003138000
45	Dec  7, 2024 20:38:10.360701000 -03	192.168.1.95	130.104.228.159		8		4.608800000
