3	Dec  7, 2024 20:08:40.791422000 -03	192.168.1.95	5.161.76.19			0x0010	0.021754000
4	Dec  7, 2024 20:08:40.791930000 -03	192.168.1.1,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.000508000
5	Dec  7, 2024 20:08:40.840519000 -03	192.168.1.95	5.161.76.19			0x0010	0.048589000
7	Dec  7, 2024 20:08:40.891524000 -03	192.168.1.95	5.161.76.19			0x0010	0.043821000
9	Dec  7, 2024 20:08:40.940685000 -03	192.168.1.95	5.161.76.19			0x0010	0.039584000
11	Dec  7, 2024 20:08:40.991367000 -03	192.168.1.95	5.161.76.19			0x0010	0.047699000
14	Dec  7, 2024 20:08:45.992477000 -03	192.168.1.95	5.161.76.19			0x0010	0.195587000
15	Dec  7, 2024 20:08:45.997390000 -03	5.53.0.144,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.004913000
16	Dec  7, 2024 20:08:46.043228000 -03	192.168.1.95	5.161.76.19			0x0010	0.045838000
18	Dec  7, 2024 20:08:51.044365000 -03	192.168.1.95	5.161.76.19			0x0010	2.915396000
19	Dec  7, 2024 20:08:51.142715000 -03	5.53.3.75,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.098350000
20	Dec  7, 2024 20:08:51.142861000 -03	192.168.1.95	5.161.76.19			0x0010	0.000146000
21	Dec  7, 2024 20:08:56.143769000 -03	192.168.1.95	5.161.76.19			0x0010	5.000908000
22	Dec  7, 2024 20:08:56.242190000 -03	213.140.43.206,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.098421000
23	Dec  7, 2024 20:08:56.242343000 -03	192.168.1.95	5.161.76.19			0x0010	0.000153000
24	Dec  7, 2024 20:09:01.242781000 -03	192.168.1.95	5.161.76.19			0x0010	5.000438000
25	Dec  7, 2024 20:09:01.344722000 -03	94.142.107.213,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.101941000
26	Dec  7, 2024 20:09:01.344889000 -03	192.168.1.95	5.161.76.19			0x0010	0.000167000
27	Dec  7, 2024 20:09:01.477937000 -03	62.115.119.230,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.133048000
28	Dec  7, 2024 20:09:01.478108000 -03	192.168.1.95	5.161.76.19			0x0010	0.000171000
30	Dec  7, 2024 20:09:06.478903000 -03	192.168.1.95	5.161.76.19			0x0010	2.940156000
31	Dec  7, 2024 20:09:06.610399000 -03	62.115.138.190,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.131496000
32	Dec  7, 2024 20:09:06.610552000 -03	192.168.1.95	5.161.76.19			0x0010	0.000153000
34	Dec  7, 2024 20:09:06.743265000 -03	192.168.1.95	5.161.76.19			0x0010	0.000148000
36	Dec  7, 2024 20:09:06.876281000 -03	192.168.1.95	5.161.76.19			0x0010	0.000151000
39	Dec  7, 2024 20:09:11.876724000 -03	192.168.1.95	5.161.76.19			0x0010	0.259675000
40	Dec  7, 2024 20:09:16.877349000 -03	192.168.1.95	5.161.76.19			0x0010	5.000625000
41	Dec  7, 2024 20:09:17.019124000 -03	5.161.9.171,192.168.1.95	192.168.1.95,5.161.76.19		11	0x0010	0.141775000
42	Dec  7, 2024 20:09:17.019287000 -03	192.168.1.95	5.161.76.19			0x0010	0.000163000
44	Dec  7, 2024 20:09:22.020227000 -03	192.168.1.95	5.161.76.19			0x0010	3.814818000
45	Dec  7, 2024 20:09:27.021512000 -03	192.168.1.95	5.161.76.19			0x0010	5.001285000
48	Dec  7, 2024 20:09:32.023071000 -03	192.168.1.95	5.161.76.19			0x0010	3.630280000
50	Dec  7, 2024 20:09:37.023665000 -03	192.168.1.95	5.161.76.19			0x0010	3.804683000
51	Dec  7, 2024 20:09:42.024526000 -03	192.168.1.95	5.161.76.19			0x0010	5.000861000
52	Dec  7, 2024 20:09:47.024903000 -03	192.168.1.95	5.161.76.19			0x0010	5.000377000
54	Dec  7, 2024 20:09:52.025474000 -03	192.168.1.95	5.161.76.19			0x0010	3.792652000
55	Dec  7, 2024 20:09:57.025750000 -03	192.168.1.95	5.161.76.19			0x0010	5.000276000
58	Dec  7, 2024 20:10:02.026838000 -03	192.168.1.95	5.161.76.19			0x0010	1.107202000
