3	Dec  7, 2024 20:41:03.750554000 -03	192.168.1.95	130.104.228.159			0x0010	0.011297000
4	Dec  7, 2024 20:41:03.751332000 -03	192.168.1.1,192.168.1.95	192.168.1.95,130.104.228.159		11	0x0010	0.000778000
5	Dec  7, 2024 20:41:03.799691000 -03	192.168.1.95	130.104.228.159			0x0010	0.048359000
7	Dec  7, 2024 20:41:03.850223000 -03	192.168.1.95	130.104.228.159			0x0010	0.044767000
9	Dec  7, 2024 20:41:03.900518000 -03	192.168.1.95	130.104.228.159			0x0010	0.045593000
11	Dec  7, 2024 20:41:03.950264000 -03	192.168.1.95	130.104.228.159			0x0010	0.045469000
13	Dec  7, 2024 20:41:03.999683000 -03	192.168.1.95	130.104.228.159			0x0010	0.042806000
17	Dec  7, 2024 20:41:09.000687000 -03	192.168.1.95	130.104.228.159			0x0010	0.245543000
20	Dec  7, 2024 20:41:14.001393000 -03	192.168.1.95	130.104.228.159			0x0010	4.601368000
22	Dec  7, 2024 20:41:14.221083000 -03	192.168.1.95	130.104.228.159			0x0010	0.000146000
24	Dec  7, 2024 20:41:14.439814000 -03	192.168.1.95	130.104.228.159			0x0010	0.000188000
25	Dec  7, 2024 20:41:19.440397000 -03	192.168.1.95	130.104.228.159			0x0010	5.000583000
28	Dec  7, 2024 20:41:24.441064000 -03	192.168.1.95	130.104.228.159			0x0010	3.382289000
31	Dec  7, 2024 20:41:29.442131000 -03	192.168.1.95	130.104.228.159			0x0010	0.520120000
32	Dec  7, 2024 20:41:34.443038000 -03	192.168.1.95	130.104.228.159			0x0010	5.000907000
34	Dec  7, 2024 20:41:39.444087000 -03	192.168.1.95	130.104.228.159			0x0010	3.211957000
35	Dec  7, 2024 20:41:44.445199000 -03	192.168.1.95	130.104.228.159			0x0010	5.001112000
36	Dec  7, 2024 20:41:49.446036000 -03	192.168.1.95	130.104.228.159			0x0010	5.000837000
38	Dec  7, 2024 20:41:54.446263000 -03	192.168.1.95	130.104.228.159			0x0010	3.387411000
39	Dec  7, 2024 20:41:59.447777000 -03	192.168.1.95	130.104.228.159			0x0010	5.001514000
