1	Dec  7, 2024 20:28:10.038212000 -03	192.168.1.95	80.77.4.60	62580,33435			0.000000000
2	Dec  7, 2024 20:28:10.039603000 -03	192.168.1.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33435	11		0.001391000
3	Dec  7, 2024 20:28:10.289157000 -03	192.168.1.95	80.77.4.60	62580,33435			0.249554000
4	Dec  7, 2024 20:28:10.294795000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33435	11		0.005638000
5	Dec  7, 2024 20:28:10.539300000 -03	192.168.1.95	80.77.4.60	62580,33436			0.244505000
6	Dec  7, 2024 20:28:10.543728000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33436	11		0.004428000
7	Dec  7, 2024 20:28:10.789435000 -03	192.168.1.95	80.77.4.60	62580,33437			0.245707000
8	Dec  7, 2024 20:28:10.795665000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33437	11		0.006230000
9	Dec  7, 2024 20:28:11.040699000 -03	192.168.1.95	80.77.4.60	62580,33438			0.245034000
10	Dec  7, 2024 20:28:11.047558000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33438	11		0.006859000
11	Dec  7, 2024 20:28:11.291750000 -03	192.168.1.95	80.77.4.60	62580,33439			0.244192000
12	Dec  7, 2024 20:28:11.295163000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33439	11		0.003413000
13	Dec  7, 2024 20:28:11.541898000 -03	192.168.1.95	80.77.4.60	62580,33440			0.246735000
14	Dec  7, 2024 20:28:11.550354000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60	62580,33440	11		0.008456000
15	Dec  7, 2024 20:28:11.792247000 -03	192.168.1.95	80.77.4.60	62580,33435			0.241893000
16	Dec  7, 2024 20:28:11.797968000 -03	10.50.3.21,192.168.1.95	192.168.1.95,80.77.4.60	62580,33435	11		0.005721000
17	Dec  7, 2024 20:28:12.042707000 -03	192.168.1.95	80.77.4.60	62580,33436			0.244739000
18	Dec  7, 2024 20:28:17.044014000 -03	192.168.1.95	80.77.4.60	62580,33436			5.001307000
19	Dec  7, 2024 20:28:17.046564000 -03	10.50.3.21,192.168.1.95	192.168.1.95,80.77.4.60	62580,33436	11		0.002550000
20	Dec  7, 2024 20:28:17.294304000 -03	192.168.1.95	80.77.4.60	62580,33437			0.247740000
21	Dec  7, 2024 20:28:17.298464000 -03	10.50.3.9,192.168.1.95	192.168.1.95,80.77.4.60	62580,33437	11		0.004160000
