1	Dec  7, 2024 20:21:55.708099000 -03	192.168.1.95	80.77.4.60		8		0.000000000
2	Dec  7, 2024 20:21:55.708565000 -03	192.168.1.1,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.000466000
3	Dec  7, 2024 20:21:55.757842000 -03	192.168.1.95	80.77.4.60		8		0.049277000
4	Dec  7, 2024 20:21:55.761341000 -03	190.20.192.1,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.003499000
5	Dec  7, 2024 20:21:55.808954000 -03	192.168.1.95	80.77.4.60		8		0.047613000
6	Dec  7, 2024 20:21:55.812286000 -03	10.50.3.9,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.003332000
7	Dec  7, 2024 20:21:55.858963000 -03	192.168.1.95	80.77.4.60		8		0.046677000
8	Dec  7, 2024 20:21:55.864696000 -03	10.50.3.22,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.005733000
9	Dec  7, 2024 20:21:55.908771000 -03	192.168.1.95	80.77.4.60		8		0.044075000
12	Dec  7, 2024 20:22:00.913873000 -03	192.168.1.95	80.77.4.60		8		0.203296000
13	Dec  7, 2024 20:22:00.920122000 -03	5.53.0.144,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.006249000
14	Dec  7, 2024 20:22:00.964850000 -03	192.168.1.95	80.77.4.60		8		0.044728000
16	Dec  7, 2024 20:22:05.969232000 -03	192.168.1.95	80.77.4.60		8		1.770170000
17	Dec  7, 2024 20:22:10.972304000 -03	192.168.1.95	80.77.4.60		8		5.003072000
20	Dec  7, 2024 20:22:15.975517000 -03	192.168.1.95	80.77.4.60		8		4.808934000
22	Dec  7, 2024 20:22:20.978991000 -03	192.168.1.95	80.77.4.60		8		1.693657000
23	Dec  7, 2024 20:22:25.983370000 -03	192.168.1.95	80.77.4.60		8		5.004379000
26	Dec  7, 2024 20:22:30.985767000 -03	192.168.1.95	80.77.4.60		8		1.007855000
27	Dec  7, 2024 20:22:31.119644000 -03	62.115.120.176,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.133877000
28	Dec  7, 2024 20:22:31.119761000 -03	192.168.1.95	80.77.4.60		8		0.000117000
29	Dec  7, 2024 20:22:31.260307000 -03	62.115.136.200,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.140546000
30	Dec  7, 2024 20:22:31.260559000 -03	192.168.1.95	80.77.4.60		8		0.000252000
31	Dec  7, 2024 20:22:31.400226000 -03	62.115.112.71,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.139667000
32	Dec  7, 2024 20:22:31.400380000 -03	192.168.1.95	80.77.4.60		8		0.000154000
33	Dec  7, 2024 20:22:31.536301000 -03	62.115.57.79,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.135921000
34	Dec  7, 2024 20:22:31.536461000 -03	192.168.1.95	80.77.4.60		8		0.000160000
35	Dec  7, 2024 20:22:31.858587000 -03	85.95.26.166,192.168.1.95	192.168.1.95,80.77.4.60		11,8		0.322126000
36	Dec  7, 2024 20:22:31.858794000 -03	192.168.1.95	80.77.4.60		8		0.000207000
